"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","138","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2449","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","10127","0.0-2.0","7672","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","12964","0.0-4.0","2836","","","[{""page_index"":0,""viewing_time"":1404},{""page_index"":1,""viewing_time"":690},{""page_index"":2,""viewing_time"":741}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","17772","0.0-5.0-0.0","","","","","test6","undefinedundefined","undefined","[0,1]","1","1","1718","1","1","[2,3]","1","3","1076","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,1644]","1","1","[0.6,0.51,0.387,0.388]","0","0","false"
"","","","","","two-step-trial","5","21666","0.0-6.0-0.0","","","","","test6","undefinedundefined","undefined","[0,1]","1","1","944","1","1","[2,3]","1","3","939","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,1644]","1","2","[0.6,0.49,0.376,0.364]","0","0","false"
"","","","","","two-step-trial","6","38427","0.0-7.0-0.0","","","","","test6","undefinedundefined","undefined","[0,1]","1","1","947","1","1","[2,3]","null","null","null","null","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,1644]","1","3","[0.612,0.488,0.376,0.385]","0","0","true"
"","","","","","two-step-trial","7","42943","0.0-7.1-0.1","","","","","test6","undefinedundefined","undefined","[0,1]","1","1","1203","1","1","[2,3]","1","3","1301","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,1644]","1","3","[0.612,0.488,0.376,0.385]","0","0","false"
"","","","","","two-step-trial","8","47527","0.0-8.0-0.0","","","","","test6","undefinedundefined","undefined","[0,1]","1","1","1482","1","1","[2,3]","1","3","1093","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,1644]","1","4","[0.659,0.517,0.37,0.352]","0","0","false"
