"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","39","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2890","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","4319","0.0-2.0","1426","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","10751","0.0-4.0","6428","","","[{""page_index"":0,""viewing_time"":1479.000000000001},{""page_index"":1,""viewing_time"":2052},{""page_index"":2,""viewing_time"":2895.999999999999}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","15331","0.0-5.0-0.0","","","","","test5","undefinedundefined","undefined","[0,1]","1","1","1597","1","1","[2,3]","1","3","971","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","[980,1644]","1","1","[0.44,0.385,0.62,0.421]","1","0","false"
"","","","","","two-step-trial","5","19625","0.0-6.0-0.0","","","","","test5","undefinedundefined","undefined","[0,1]","1","1","1019","0","0","[0,1]","1","1","1266","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","[980,1644]","1","2","[0.427,0.383,0.623,0.388]","1","0","false"
"","","","","","two-step-trial","6","23851","0.0-7.0-0.0","","","","","test5","undefinedundefined","undefined","[0,1]","1","1","1206","1","1","[2,3]","1","3","1008","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","[980,1644]","1","3","[0.366,0.399,0.638,0.394]","1","0","false"
