"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","191","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2301","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","3657","0.0-2.0","1351","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","7918","0.0-4.0","4257","","","[{""page_index"":0,""viewing_time"":2116},{""page_index"":1,""viewing_time"":1450},{""page_index"":2,""viewing_time"":691}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","12467","0.0-5.0-0.0","","","","","003","ema09","tdcs23","[0,1]","1","1","1484","0","0","[0,1]","1","1","1054","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1920,1080]","1","1","[0.305,0.438,0.598,0.713]","3","0","false"
"","","","","","two-step-trial","5","16021","0.0-6.0-0.0","","","","","003","ema09","tdcs23","[0,1]","1","1","948","0","0","[0,1]","1","1","598","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1920,1080]","1","2","[0.326,0.396,0.598,0.702]","3","0","false"
"","","","","","two-step-trial","6","20065","0.0-7.0-0.0","","","","","003","ema09","tdcs23","[0,1]","0","0","1212","0","1","[2,3]","0","2","820","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1920,1080]","1","3","[0.302,0.426,0.576,0.736]","3","0","false"
"","","","","","two-step-trial","7","26268","0.0-8.0-0.0","","","","","003","ema09","tdcs23","[0,1]","0","0","3339","1","0","[0,1]","0","0","857","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1920,1080]","1","4","[0.362,0.43,0.582,0.702]","3","0","false"
"","","","","","two-step-trial","8","30217","0.0-9.0-0.0","","","","","003","ema09","tdcs23","[0,1]","0","0","1129","1","0","[0,1]","0","0","813","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1920,1080]","1","5","[0.368,0.485,0.615,0.711]","3","0","false"
"","","","","","two-step-trial","9","45224","0.0-10.0-0.0","","","","","003","ema09","tdcs23","[0,1]","null","null","null","1","null","[0,1]","null","null","null","null","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1920,1080]","1","6","[0.404,0.486,0.616,0.744]","3","1","true"
"","","","","","two-step-trial","10","60231","0.0-10.1-0.1","","","","","003","ema09","tdcs23","[0,1]","null","null","null","1","null","[0,1]","null","null","null","null","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1295,963]","1","6","[0.404,0.486,0.616,0.744]","3","0","true"
"","","","","","two-step-trial","11","64152","0.0-10.2-0.2","","","","","003","ema09","tdcs23","[0,1]","1","1","1059","1","1","[2,3]","1","3","856","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1295,963]","1","6","[0.404,0.486,0.616,0.744]","3","0","false"
"","","","","","two-step-trial","12","81237","0.0-11.0-0.0","","","","","003","ema09","tdcs23","[0,1]","1","1","1275","1","1","[2,3]","null","null","null","null","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1295,963]","1","7","[0.387,0.453,0.558,0.725]","3","0","true"
"","","","","","two-step-trial","13","96246","0.0-11.1-0.1","","","","","003","ema09","tdcs23","[0,1]","null","null","null","1","null","[0,1]","null","null","null","null","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1295,963]","1","7","[0.387,0.453,0.558,0.725]","3","0","true"
"","","","","","two-step-trial","14","102533","0.0-11.2-0.2","","","","","003","ema09","tdcs23","[0,1]","1","1","1418","1","1","[2,3]","1","3","2861","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1295,963]","1","7","[0.387,0.453,0.558,0.725]","3","0","false"
