"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","393","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","19503","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","20741","0.0-2.0","1233","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","33048","0.0-4.0","12304","","","[{""page_index"":0,""viewing_time"":8254},{""page_index"":1,""viewing_time"":1999.0000000000036},{""page_index"":2,""viewing_time"":2050.9999999999964}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","37785","0.0-5.0-0.0","","","","","test9","undefinedundefined","undefined","[0,1]","1","1","1062","1","1","[2,3]","1","3","1662","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[980,1644]","1","1","[0.44,0.385,0.62,0.421]","1","0","false"
"","","","","","two-step-trial","5","43820","0.0-6.0-0.0","","","","","test9","undefinedundefined","undefined","[0,1]","1","1","2829","0","0","[0,1]","1","1","1196","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[980,1644]","1","2","[0.427,0.383,0.623,0.388]","1","0","false"
"","","","","","two-step-trial","6","47856","0.0-7.0-0.0","","","","","test9","undefinedundefined","undefined","[0,1]","1","1","999","1","1","[2,3]","1","3","1023","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[980,1644]","1","3","[0.366,0.399,0.638,0.394]","1","0","false"
"","","","","","two-step-trial","7","51960","0.0-8.0-0.0","","","","","test9","undefinedundefined","undefined","[0,1]","1","1","688","1","1","[2,3]","1","3","1405","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[980,1644]","1","4","[0.352,0.371,0.644,0.424]","1","0","false"
"","","","","","two-step-trial","8","59340","0.0-9.0-0.0","","","","","test9","undefinedundefined","undefined","[0,1]","1","1","1807","1","1","[2,3]","1","3","3560","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[980,1644]","1","5","[0.387,0.418,0.671,0.445]","1","0","false"
