"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","312","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2582","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","3960","0.0-2.0","1372","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","7580","0.0-4.0","3613","","","[{""page_index"":0,""viewing_time"":1453},{""page_index"":1,""viewing_time"":1128},{""page_index"":2,""viewing_time"":1031}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","11838","0.0-5.0-0.0","","","","","undefined","undefinedundefined","undefined","[0,1]","1","1","1168","1","1","[2,3]","1","3","1071","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","[980,1644]","1","1","[0.412,0.317,0.453,0.743]","2","0","false"
"","","","","","two-step-trial","5","29646","0.0-6.0-0.0","","","","","undefined","undefinedundefined","undefined","[0,1]","1","1","1994","0","0","[0,1]","null","null","null","null","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","[980,1644]","1","2","[0.402,0.305,0.461,0.702]","2","1","true"
