"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","25","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2369","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","3950","0.0-2.0","1570","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","7951","0.0-4.0","3992.000000000002","","","[{""page_index"":0,""viewing_time"":1404},{""page_index"":1,""viewing_time"":1293},{""page_index"":2,""viewing_time"":1292}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","12313","0.0-5.0-0.0","","","","","test4","undefinedundefined","undefined","[0,1]","1","1","1310","1","1","[2,3]","1","3","1031","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","[980,1644]","1","1","[0.6,0.51,0.387,0.388]","0","0","false"
"","","","","","two-step-trial","5","16308","0.0-6.0-0.0","","","","","test4","undefinedundefined","undefined","[0,1]","1","1","957","0","0","[0,1]","1","1","1025","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","[980,1644]","1","2","[0.6,0.49,0.376,0.364]","0","0","false"
"","","","","","two-step-trial","6","19652","0.0-7.0-0.0","","","","","test4","undefinedundefined","undefined","[0,1]","1","1","875","1","1","[2,3]","1","3","455","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","[980,1644]","1","3","[0.612,0.488,0.376,0.385]","0","0","false"
"","","","","","two-step-trial","7","43949","0.0-8.0-0.0","","","","","test4","undefinedundefined","undefined","[0,1]","1","1","8480","1","1","[2,3]","null","null","null","null","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","[980,1644]","1","4","[0.659,0.517,0.37,0.352]","0","0","true"
