"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","468","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2326","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","3491","0.0-2.0","1160","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","12877","0.0-4.0","9382","","","[{""page_index"":0,""viewing_time"":6816},{""page_index"":1,""viewing_time"":1872},{""page_index"":2,""viewing_time"":693}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","22290","0.0-5.0-0.0","","","","","003","ema08","tdcs23","[0,1]","1","1","1382","1","1","[2,3]","1","3","6019","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","1","[0.44,0.385,0.62,0.421]","1","0","false"
"","","","","","two-step-trial","5","25563","0.0-6.0-0.0","","","","","003","ema08","tdcs23","[0,1]","1","1","642","1","1","[2,3]","1","3","623","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","2","[0.427,0.383,0.623,0.388]","1","0","false"
"","","","","","two-step-trial","6","29336","0.0-7.0-0.0","","","","","003","ema08","tdcs23","[0,1]","1","1","1026","0","0","[0,1]","1","1","742","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","3","[0.366,0.399,0.638,0.394]","1","1","false"
"","","","","","two-step-trial","7","44340","0.0-8.0-0.0","","","","","003","ema08","tdcs23","[0,1]","null","null","null","0","null","[0,1]","null","null","null","null","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1920,963]","1","4","[0.352,0.371,0.644,0.424]","1","3","true"
"","","","","","two-step-trial","8","59347","0.0-8.1-0.1","","","","","003","ema08","tdcs23","[0,1]","null","null","null","0","null","[0,1]","null","null","null","null","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[584,963]","1","4","[0.352,0.371,0.644,0.424]","1","0","true"
"","","","","","two-step-trial","9","67919","0.0-8.2-0.2","","","","","003","ema08","tdcs23","[0,1]","1","1","5830","0","0","[0,1]","1","1","734","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[584,963]","1","4","[0.352,0.371,0.644,0.424]","1","1","false"
"","","","","","two-step-trial","10","84701","0.0-9.0-0.0","","","","","003","ema08","tdcs23","[0,1]","1","1","973","1","1","[2,3]","null","null","null","null","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[584,963]","1","5","[0.387,0.418,0.671,0.445]","1","1","true"
"","","","","","two-step-trial","11","99708","0.0-9.1-0.1","","","","","003","ema08","tdcs23","[0,1]","null","null","null","1","null","[0,1]","null","null","null","null","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1295,963]","1","5","[0.387,0.418,0.671,0.445]","1","0","true"
"","","","","","two-step-trial","12","114718","0.0-9.2-0.2","","","","","003","ema08","tdcs23","[0,1]","null","null","null","1","null","[0,1]","null","null","null","null","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1295,963]","1","5","[0.387,0.418,0.671,0.445]","1","0","true"
